DBSNP_INS_DEL_RATIO	The Insertion/Deletion ratio of the indel calls made at dbSNP sites
DBSNP_TITV	The Transition/Transversion ratio of the passing bi-allelic SNP calls made at dbSNP sites
NOVEL_INDELS	The number of passing indels called that were not found in dbSNP
NOVEL_INS_DEL_RATIO	The Insertion/Deletion ratio of the indel calls made at non-dbSNP sites
NOVEL_SNPS	The number of passing bi-allelic SNPS called that were not found in dbSNP
NOVEL_TITV	The Transition/Transversion ratio of the passing bi-allelic SNP calls made at non-dbSNP sites
NUM_IN_DB_SNP	The number of passing bi-allelic SNPs found in dbSNP
NUM_IN_DB_SNP_COMPLEX_INDELS	The number of passing complex indels found in dbSNP
NUM_IN_DB_SNP_INDELS	The number of passing indels found in dbSNP
NUM_IN_DB_SNP_MULTIALLELIC	The number of passing multi-allelic SNPs found in dbSNP
NUM_SINGLETONS	For summary metrics, the number of variants that appear in only one sample.
PCT_DBSNP	The fraction of passing bi-allelic SNPs in dbSNP
PCT_DBSNP_INDELS	The fraction of passing indels in dbSNP
SNP_REFERENCE_BIAS	The rate at which reference bases are observed at ref/alt heterozygous SNP sites.
TOTAL_COMPLEX_INDELS	The number of passing complex indel calls that were examined
TOTAL_INDELS	The number of passing indel calls that were examined
TOTAL_MULTIALLELIC_SNPS	The number of passing multi-allelic SNP calls that were examined
TOTAL_SNPS	The number of passing bi-allelic SNPs calls
MAD_COVERAGE	The median absolute deviation of coverage of the genome after all filters are applied.
MEAN_COVERAGE	The mean coverage in bases of the genome territory, after all filters are applied.
MEDIAN_COVERAGE	The median coverage in bases of the genome territory, after all filters are applied.
PCT_1X	The fraction of bases that attained at least 1X sequence coverage in post-filtering bases.
PCT_100X	The fraction of bases that attained at least 100X sequence coverage in post-filtering bases.
PCT_10X	The fraction of bases that attained at least 10X sequence coverage in post-filtering bases.
PCT_15X	The fraction of bases that attained at least 15X sequence coverage in post-filtering bases.
PCT_20X	The fraction of bases that attained at least 20X sequence coverage in post-filtering bases.
PCT_25X	The fraction of bases that attained at least 25X sequence coverage in post-filtering bases.
PCT_30X	The fraction of bases that attained at least 30X sequence coverage in post-filtering bases.
PCT_40X	The fraction of bases that attained at least 40X sequence coverage in post-filtering bases.
PCT_50X	The fraction of bases that attained at least 50X sequence coverage in post-filtering bases.
PCT_5X	The fraction of bases that attained at least 5X sequence coverage in post-filtering bases.
PCT_60X	The fraction of bases that attained at least 60X sequence coverage in post-filtering bases.
