file_name,read_group_id,library_selection,library_strand,read_length
30d453ef-20ad-45b7-8df5-b611a18fd246.rna_seq.genomic.gdc_realn.bam,f1a21119-f562-4169-902b-4fdbb3fa29b3,Poly-T Enrichment,,101
ed8cedc6-8fb6-41bf-ae0b-f270e7e4dee6.rna_seq.genomic.gdc_realn.bam,6d29d470-303b-4b47-93b2-99f120f1e176,Other,,0
631e94bd-6701-44fe-8906-81343d23b48f.rna_seq.genomic.gdc_realn.bam,512ef7e2-bd1d-4426-b1e5-0e6ab82c3d58,Other,,0
b66acbe1-b96e-4b10-a2be-f0ea9b44286e.rna_seq.genomic.gdc_realn.bam,1c8edb97-8f01-4e49-9beb-d29590e7def7,Other,,0
733d8a0f-9696-4a21-b15c-fea97a6ae45e.rna_seq.genomic.gdc_realn.bam,1b16b425-8a1b-4856-bb5c-a5039e9378cc,Poly-T Enrichment,,81
733d8a0f-9696-4a21-b15c-fea97a6ae45e.rna_seq.genomic.gdc_realn.bam,382a0fea-da82-462b-9951-3081a98cb075,Poly-T Enrichment,,81
bb4f1fa1-89ce-472d-abee-91d9f206e0d8.rna_seq.genomic.gdc_realn.bam,29493381-c5cc-4a01-92ff-918eca01d0dc,Poly-T Enrichment,,101
bb4f1fa1-89ce-472d-abee-91d9f206e0d8.rna_seq.genomic.gdc_realn.bam,beb9c28e-7f43-4f6b-bf97-5eeabf24277e,Poly-T Enrichment,,158
1a8bab01-4a42-4f58-8ae5-da555491f463.rna_seq.genomic.gdc_realn.bam,a96e23f2-f6b3-44c6-b015-4056c6b28e7e,Poly-T Enrichment,,81
1a8bab01-4a42-4f58-8ae5-da555491f463.rna_seq.genomic.gdc_realn.bam,699df307-4438-4525-9945-3b8b7235d733,Poly-T Enrichment,,81
1a8bab01-4a42-4f58-8ae5-da555491f463.rna_seq.genomic.gdc_realn.bam,131aaa22-83d0-4a38-ad54-62b031c4d009,Poly-T Enrichment,,81
a691065d-1b93-4d28-a74f-e790d2d1621f.rna_seq.genomic.gdc_realn.bam,f0afcf6b-1fd8-4a80-8619-88f214e0b2b6,Poly-T Enrichment,,101
a691065d-1b93-4d28-a74f-e790d2d1621f.rna_seq.genomic.gdc_realn.bam,65e2a309-fa05-41a2-b3e7-88e8d85f56b7,Poly-T Enrichment,,101
a691065d-1b93-4d28-a74f-e790d2d1621f.rna_seq.genomic.gdc_realn.bam,1965cb8c-4f58-4c08-bdea-ba1544b7597e,Poly-T Enrichment,,81
b75629fe-4d55-4df0-9e43-5f0de758f249.rna_seq.genomic.gdc_realn.bam,78e4f353-97a1-41aa-a2dc-68f677842e74,Other,,0
b75629fe-4d55-4df0-9e43-5f0de758f249.rna_seq.genomic.gdc_realn.bam,aba70943-dc19-4076-8096-25c5685258d6,Other,,0
537216c6-4d20-42f5-b191-7e6c10cafbe7.rna_seq.genomic.gdc_realn.bam,75fc4dec-dc76-4af3-8979-c2d06a52950a,Poly-T Enrichment,,101
537216c6-4d20-42f5-b191-7e6c10cafbe7.rna_seq.genomic.gdc_realn.bam,8c059ba1-e1f4-4d41-b20e-585900d18bf1,Other,N/A,101
80304b6d-45f9-4210-9a2a-dee958cf32c4.rna_seq.genomic.gdc_realn.bam,5f9fead6-3566-43c7-9dae-230c09b6e621,Other,N/A,101
80304b6d-45f9-4210-9a2a-dee958cf32c4.rna_seq.genomic.gdc_realn.bam,e3c85f50-2bfd-47fa-ac98-26fe88d46541,Poly-T Enrichment,,101
e9bec6fd-6a37-4f07-b396-2c960be6e9ef.rna_seq.genomic.gdc_realn.bam,4559bd4f-6433-44d1-91d8-dec23a0ffe33,Other,N/A,101
e9bec6fd-6a37-4f07-b396-2c960be6e9ef.rna_seq.genomic.gdc_realn.bam,8f7cafa4-4303-4416-92c8-63cae4e80b25,Poly-T Enrichment,,101
97fff753-780b-4c1f-9b30-bad1335259cf.rna_seq.genomic.gdc_realn.bam,fd2c5776-08f3-43eb-b25d-8b1051df9db9,Other,N/A,101
97fff753-780b-4c1f-9b30-bad1335259cf.rna_seq.genomic.gdc_realn.bam,628d5bcb-3def-4c01-a417-f4b0425d94c8,Poly-T Enrichment,,101
3a89e015-441c-4c22-9b73-55cdd2a42e09.rna_seq.genomic.gdc_realn.bam,5b4b0338-7be4-45af-9f69-753e0e8ea78b,Other,N/A,103
3a89e015-441c-4c22-9b73-55cdd2a42e09.rna_seq.genomic.gdc_realn.bam,8df889aa-0ea4-469d-b50a-d185df00e7b3,Poly-T Enrichment,,103
c3a5381d-b2a6-4c92-9e1d-c23f306d481d.rna_seq.genomic.gdc_realn.bam,ee4ef049-c119-40e2-a37f-780887c34b4c,Other,N/A,101
c3a5381d-b2a6-4c92-9e1d-c23f306d481d.rna_seq.genomic.gdc_realn.bam,3635ca82-3f22-4c7a-801b-71d8e6f3c9c2,Poly-T Enrichment,,101
9c00ffb8-be7c-402a-b15b-84334cedb250.rna_seq.genomic.gdc_realn.bam,096e7dc9-dd96-4d77-9119-50083ce211e5,Poly-T Enrichment,,101
9c00ffb8-be7c-402a-b15b-84334cedb250.rna_seq.genomic.gdc_realn.bam,b2b64048-3b5b-4663-bf8d-117fa7dbedcb,Other,N/A,101
645b2b83-b0ff-471f-a49d-fd8d64ed8f39.rna_seq.genomic.gdc_realn.bam,83b5cb3e-3edd-46b2-97d1-ddc86ce16283,Poly-T Enrichment,,101
645b2b83-b0ff-471f-a49d-fd8d64ed8f39.rna_seq.genomic.gdc_realn.bam,db41d86e-fcdc-4772-935f-84c233eeab45,Other,N/A,101
f51efd9f-3820-49ce-b69d-2fe1c10728c9.rna_seq.genomic.gdc_realn.bam,f77864b5-9dba-4f0a-8583-0930ec09173b,Other,N/A,101
f51efd9f-3820-49ce-b69d-2fe1c10728c9.rna_seq.genomic.gdc_realn.bam,eec10af1-6f5d-40c4-b0cf-f5481c86b001,Poly-T Enrichment,,101
900db067-2678-4231-ae8b-3e153efede5a.rna_seq.genomic.gdc_realn.bam,b12993cc-ade4-452f-93f8-7e0528446c18,Other,N/A,101
900db067-2678-4231-ae8b-3e153efede5a.rna_seq.genomic.gdc_realn.bam,5109a948-3036-46bd-a6a6-8bb4b7b42ad5,Poly-T Enrichment,,101
d4322d18-5cca-4934-8090-ffe533635078.rna_seq.genomic.gdc_realn.bam,b14a4852-793e-4f0b-b40f-341e65bba90a,Poly-T Enrichment,,103
d4322d18-5cca-4934-8090-ffe533635078.rna_seq.genomic.gdc_realn.bam,17632008-83d2-4364-9358-697837e7482f,Other,N/A,103
f17ed345-3ff9-4c55-92b2-e99e05b953c5.rna_seq.genomic.gdc_realn.bam,bb1994f2-a72f-4f50-8efd-ef04ac2d216d,Poly-T Enrichment,,100
f17ed345-3ff9-4c55-92b2-e99e05b953c5.rna_seq.genomic.gdc_realn.bam,2f31eacc-8454-4d20-b6ce-dd1acfa8f68e,Other,N/A,100
9bb9d403-745f-4618-bf2e-129bdd6856f8.rna_seq.genomic.gdc_realn.bam,954a9030-cd7e-4307-bbe5-81592abc110d,Poly-T Enrichment,,101
9bb9d403-745f-4618-bf2e-129bdd6856f8.rna_seq.genomic.gdc_realn.bam,f9c71f2f-6d65-4851-8398-bbed0d2277bd,Other,N/A,101
dcc291dd-a7d6-4279-a653-aa0baf83e68f.rna_seq.genomic.gdc_realn.bam,88ed5546-6015-4292-a3f6-fcfa089d068b,Poly-T Enrichment,,101
dcc291dd-a7d6-4279-a653-aa0baf83e68f.rna_seq.genomic.gdc_realn.bam,cee6b859-d7ce-4c59-99f2-d84c14480b80,Other,N/A,101
520f9326-44f5-45b9-9624-4574416339ec.rna_seq.genomic.gdc_realn.bam,e5831caf-ee04-4a90-8868-b79434490b0c,Other,N/A,101
520f9326-44f5-45b9-9624-4574416339ec.rna_seq.genomic.gdc_realn.bam,e54f702e-e4d2-492f-9915-faaef414e3a9,Poly-T Enrichment,,101
e5b48e72-8cd6-40af-adf1-fc4993b220ae.rna_seq.genomic.gdc_realn.bam,19cec682-c51f-4ee4-8f00-f17eca191463,Poly-T Enrichment,,101
e5b48e72-8cd6-40af-adf1-fc4993b220ae.rna_seq.genomic.gdc_realn.bam,894654e6-85eb-41e7-9043-a6282c0f499f,Other,N/A,101
fb34f974-8d1d-4c0d-bba9-697c9bffc90f.rna_seq.genomic.gdc_realn.bam,a472243c-f1c6-46aa-81e7-17974a449ae6,Poly-T Enrichment,,101
fb34f974-8d1d-4c0d-bba9-697c9bffc90f.rna_seq.genomic.gdc_realn.bam,ad47d02d-fbb0-4602-99ad-d0291ba1729a,Other,N/A,101
e987c0b1-de3c-473d-b85a-fc41ac14507d.rna_seq.genomic.gdc_realn.bam,6638e13c-ebca-49d3-b48e-72b3659ad6bb,Other,N/A,100
e987c0b1-de3c-473d-b85a-fc41ac14507d.rna_seq.genomic.gdc_realn.bam,e03d2de4-a124-4df0-b0dd-43863ca43fb1,Poly-T Enrichment,,100
91370cc2-c4ad-41b2-b635-d1d1173da553.rna_seq.genomic.gdc_realn.bam,e59763d1-78ce-4555-99df-6f6bcdf42d89,Other,N/A,101
91370cc2-c4ad-41b2-b635-d1d1173da553.rna_seq.genomic.gdc_realn.bam,6af3b1d0-4ea6-4e83-917c-40d5fa395876,Poly-T Enrichment,,101
6352c47e-dedb-481e-9188-662fe105c6ab.rna_seq.genomic.gdc_realn.bam,07bd6e42-0d5f-4577-b213-70428352bc92,Poly-T Enrichment,,101
6352c47e-dedb-481e-9188-662fe105c6ab.rna_seq.genomic.gdc_realn.bam,2f1521ba-6f63-4ea9-a338-6cab6d254a9b,Other,N/A,101
78e39f82-75e8-40d3-9886-d9fe003852f6.rna_seq.genomic.gdc_realn.bam,0b84b367-4f2e-4da4-9d45-f048898c26f3,Poly-T Enrichment,,101
78e39f82-75e8-40d3-9886-d9fe003852f6.rna_seq.genomic.gdc_realn.bam,a9f6fd50-6919-49f9-8192-d3198f05a9bf,Other,N/A,101
c30ce77c-ba93-4751-ba4e-ed2b6aee1576.rna_seq.genomic.gdc_realn.bam,30ece0e5-99d4-40fa-9448-a79d4faccea7,Other,N/A,101
c30ce77c-ba93-4751-ba4e-ed2b6aee1576.rna_seq.genomic.gdc_realn.bam,3bed2ad9-7c43-4e67-923a-601a95731be2,Poly-T Enrichment,,101
a1cff0f6-de98-496b-b7e5-ba65ffa0bf73.rna_seq.genomic.gdc_realn.bam,a202736e-f020-4c8c-8a53-41c6657bb7e0,Poly-T Enrichment,,101
a1cff0f6-de98-496b-b7e5-ba65ffa0bf73.rna_seq.genomic.gdc_realn.bam,d62a12f2-1ea6-4812-a479-21ef6a1f7ce8,Other,N/A,101
e53e9934-4397-499e-9249-ddf0fac62e29.rna_seq.genomic.gdc_realn.bam,8427cae5-4395-40db-9ac0-c18738b92a99,Poly-T Enrichment,,101
e53e9934-4397-499e-9249-ddf0fac62e29.rna_seq.genomic.gdc_realn.bam,cd321a2c-4ea6-4b58-b5ff-a73487d9501e,Other,N/A,101
ce317194-953e-42f1-959e-98c0743bbe83.rna_seq.genomic.gdc_realn.bam,9a8fe13e-cd11-427a-9ef9-ea9290f3c4c2,Poly-T Enrichment,,101
ce317194-953e-42f1-959e-98c0743bbe83.rna_seq.genomic.gdc_realn.bam,503507f6-b4df-4266-b941-658360f763a5,Other,N/A,101
de300fb5-1cc2-48f4-8226-507b53271a3f.rna_seq.genomic.gdc_realn.bam,62e39737-274b-4c05-8626-1afa7d4a0e53,Other,N/A,101
de300fb5-1cc2-48f4-8226-507b53271a3f.rna_seq.genomic.gdc_realn.bam,35917b87-2a52-43cd-bf3b-72ab45159531,Poly-T Enrichment,,101
