file_name,read_group_id,library_selection,library_strand
537216c6-4d20-42f5-b191-7e6c10cafbe7.rna_seq.genomic.gdc_realn.bam,75fc4dec-dc76-4af3-8979-c2d06a52950a,Poly-T Enrichment,
537216c6-4d20-42f5-b191-7e6c10cafbe7.rna_seq.genomic.gdc_realn.bam,8c059ba1-e1f4-4d41-b20e-585900d18bf1,Other,N/A
80304b6d-45f9-4210-9a2a-dee958cf32c4.rna_seq.genomic.gdc_realn.bam,5f9fead6-3566-43c7-9dae-230c09b6e621,Other,N/A
80304b6d-45f9-4210-9a2a-dee958cf32c4.rna_seq.genomic.gdc_realn.bam,e3c85f50-2bfd-47fa-ac98-26fe88d46541,Poly-T Enrichment,
e9bec6fd-6a37-4f07-b396-2c960be6e9ef.rna_seq.genomic.gdc_realn.bam,4559bd4f-6433-44d1-91d8-dec23a0ffe33,Other,N/A
e9bec6fd-6a37-4f07-b396-2c960be6e9ef.rna_seq.genomic.gdc_realn.bam,8f7cafa4-4303-4416-92c8-63cae4e80b25,Poly-T Enrichment,
97fff753-780b-4c1f-9b30-bad1335259cf.rna_seq.genomic.gdc_realn.bam,fd2c5776-08f3-43eb-b25d-8b1051df9db9,Other,N/A
97fff753-780b-4c1f-9b30-bad1335259cf.rna_seq.genomic.gdc_realn.bam,628d5bcb-3def-4c01-a417-f4b0425d94c8,Poly-T Enrichment,
3a89e015-441c-4c22-9b73-55cdd2a42e09.rna_seq.genomic.gdc_realn.bam,5b4b0338-7be4-45af-9f69-753e0e8ea78b,Other,N/A
3a89e015-441c-4c22-9b73-55cdd2a42e09.rna_seq.genomic.gdc_realn.bam,8df889aa-0ea4-469d-b50a-d185df00e7b3,Poly-T Enrichment,
c3a5381d-b2a6-4c92-9e1d-c23f306d481d.rna_seq.genomic.gdc_realn.bam,ee4ef049-c119-40e2-a37f-780887c34b4c,Other,N/A
c3a5381d-b2a6-4c92-9e1d-c23f306d481d.rna_seq.genomic.gdc_realn.bam,3635ca82-3f22-4c7a-801b-71d8e6f3c9c2,Poly-T Enrichment,
9c00ffb8-be7c-402a-b15b-84334cedb250.rna_seq.genomic.gdc_realn.bam,096e7dc9-dd96-4d77-9119-50083ce211e5,Poly-T Enrichment,
9c00ffb8-be7c-402a-b15b-84334cedb250.rna_seq.genomic.gdc_realn.bam,b2b64048-3b5b-4663-bf8d-117fa7dbedcb,Other,N/A
645b2b83-b0ff-471f-a49d-fd8d64ed8f39.rna_seq.genomic.gdc_realn.bam,83b5cb3e-3edd-46b2-97d1-ddc86ce16283,Poly-T Enrichment,
645b2b83-b0ff-471f-a49d-fd8d64ed8f39.rna_seq.genomic.gdc_realn.bam,db41d86e-fcdc-4772-935f-84c233eeab45,Other,N/A
f51efd9f-3820-49ce-b69d-2fe1c10728c9.rna_seq.genomic.gdc_realn.bam,f77864b5-9dba-4f0a-8583-0930ec09173b,Other,N/A
f51efd9f-3820-49ce-b69d-2fe1c10728c9.rna_seq.genomic.gdc_realn.bam,eec10af1-6f5d-40c4-b0cf-f5481c86b001,Poly-T Enrichment,
900db067-2678-4231-ae8b-3e153efede5a.rna_seq.genomic.gdc_realn.bam,b12993cc-ade4-452f-93f8-7e0528446c18,Other,N/A
900db067-2678-4231-ae8b-3e153efede5a.rna_seq.genomic.gdc_realn.bam,5109a948-3036-46bd-a6a6-8bb4b7b42ad5,Poly-T Enrichment,
d4322d18-5cca-4934-8090-ffe533635078.rna_seq.genomic.gdc_realn.bam,b14a4852-793e-4f0b-b40f-341e65bba90a,Poly-T Enrichment,
d4322d18-5cca-4934-8090-ffe533635078.rna_seq.genomic.gdc_realn.bam,17632008-83d2-4364-9358-697837e7482f,Other,N/A
